Номер,Профиль(ID),Дата,Широта,Долгота,Характеристика,Источник,Детали
60,102,2026.01.15,48.9087891,37.7841097,ПВД,https://t.me/creamy_caprice/11009,
61,106,2026.03.27,48.9895630,37.7909673,ПВД,,
62,111,2026.02.10,50.2056298,36.7441407,ПВД,https://t.me/creamy_caprice/11251,
63,113,2026.03.30,47.6433627,35.4548516,ПВД,https://t.me/c/1932937278/82689,
64,113,2026.01.13,47.5923083,35.5722157,ПВД,https://t.me/creamy_caprice/10998,
65,114,2026.04.13,48.0503393,36.5387116,ПВД,https://t.me/creamy_caprice/11682,
66,116,2026.01.09,47.7490304,36.0677698,ПВД,https://t.me/creamy_caprice/10974,
67,120,2026.04.05,47.9792882,36.4669483,ПВД,https://t.me/creamy_caprice/11622,
68,121,2026.01.28,49.8840550,37.5611367,ПВД,https://t.me/creamy_caprice/11138,
69,122,2026.03.09,48.2075169,36.7893282,ПВД,https://t.me/creamy_caprice/11446,
70,124,2026.02.27,47.6172627,36.0061415,ПВД,https://t.me/creamy_caprice/11371,
71,125,2026.03.17,48.3637554,37.0131668,ПВД,https://t.me/creamy_caprice/11717,
72,126,2026.04.15,48.519561,37.627487,ПВД,https://t.me/creamy_caprice/11106,
73,129,2026.04.17,50.2984374,37.1209830,ПВД,https://t.me/creamy_caprice/11714,
74,130,2026.01.29,47.6820954,35.3746858,ПВД,https://t.me/creamy_caprice/11146,
75,131,2026.03.01,47.6576879,35.2568402,ПВД,https://t.me/creamy_caprice/11392,
76,151,2026.03.11,48.3002286,36.8962654,ПВД,https://t.me/creamy_caprice/11454,
77,152,2026.02.08,48.4070761,37.1251593,ПВД,https://t.me/creamy_caprice/11232,
78,157,2026.02.20,49.6938539,37.6338427,ПВД,https://t.me/creamy_caprice/11315,
79,178,2026.03.26,48.5425578,37.6489182,ПВД,,
80,179,2026.03.31,48.5454074,37.6381035,ПВД,https://t.me/creamy_caprice/11531,
81,180,2026.01.25,50.3903114,37.4165298,ПВД,https://t.me/creamy_caprice/11107,
82,181,2026.03.28,48.4513298,37.1071140,ПВД,https://t.me/creamy_caprice/11574,
83,128,2026.04.24,51.091415,34.776535,ПВД,https://t.me/creamy_caprice/11769,
84,31,2024.12.01,47.973835,37.206917,ПВД,тест,тест
85,54,2025.10.01,48.815455,38.062134,ПВД,тест,тест
86,92,2025.03.01,47.974295,36.697769,ПВД,тест,тест
87,79,2024.09.15,48.583421,37.621307,ПВД,,
88,64,2026.04.26,47.611053,36.012497,БД,https://t.me/stepova_61/1960,
89,68,2026.04.27,48.022769,36.459503,ПВД,https://t.me/DeepStateUA/23441,По данным канала DeepState
90,140,2026.04.24,47.954984,36.399422,ПВД,https://t.me/ombr160/378,Первая геолокация 160 бригады 1 батальон
91,195,2026.04.04,47.616347,36.002884,ПВД,https://t.me/morok_225_oshp/44,МОРОК штурмовой батальон 225-го полка
92,13,2026.02.26,47.657757,36.016960,БД,https://t.me/creamy_caprice/11460,Подразделение Додо
93,195,2026.02.26,47.707220,36.013870,ПВД,https://t.me/creamy_caprice/11191, а так же Черный Лебедь
94,115,2026.04.13,48.028968, 36.527138,ПВД,https://t.me/creamy_caprice/11682,141 бригада ВСУ
95,104,2026.03.28,47.569345,35.870361,ПВД,https://t.me/creamy_caprice/10928,118 бригада ВСУ
96,196,2026.02.02,47.686192,35.575447,ПВД,https://t.me/creamy_caprice/11139,253 штурмовой полк Арей
97,192,2026.01.16,47.638791,36.038589,ПВД,https://t.me/creamy_caprice/10974,33 штурмовой полк
98,181,2026.03.26,47.750174, 36.076355,ПВД,https://t.me/creamy_caprice/11413,ГПСУ СБС Феникс
99,60,2026.01.01,50.301183,36.153946,ПВД,https://t.me/creamy_caprice/11784,58 бригада
100,138,2026.04.27,49.638955,37.634354,ПВД,https://t.me/creamy_caprice/11784, 9-я бригада СБС
